Running correctness tests...
[PASS] Test passed for degree 1
[PASS] Test passed for degree 2
[PASS] Test passed for degree 4
[PASS] Test passed for degree 8
[PASS] Test passed for degree 16
[PASS] Test passed for degree 32
[PASS] Test passed for degree 64
[PASS] Test passed for degree 128
[PASS] Test passed for degree 256
[PASS] Test passed for degree 512
[PASS] Test passed for degree 1024
[PASS] Test passed for degree 2048
[PASS] Test passed for degree 65536

PASSED ALL TESTS
[cpu] degree: 2, time: 0 ms
[cpu] degree: 4, time: 0 ms
[cpu] degree: 8, time: 0 ms
[cpu] degree: 16, time: 0 ms
[cpu] degree: 32, time: 0 ms
[cpu] degree: 64, time: 0 ms
[cpu] degree: 128, time: 0 ms
[cpu] degree: 256, time: 0 ms
[cpu] degree: 512, time: 1 ms
[cpu] degree: 1024, time: 6 ms
[cpu] degree: 2048, time: 25 ms
[cpu] degree: 4096, time: 100 ms
[cpu] degree: 8192, time: 398 ms
[cuda (fast!)] degree: 512, block size: 128, time: 0.296 ms
[cuda (naive)] degree: 1024, block size: 128, time: 0.329152 ms
[cuda (fast!)] degree: 1024, block size: 128, time: 0.432768 ms
[cuda (naive)] degree: 2048, block size: 128, time: 0.418464 ms
[cuda (fast!)] degree: 2048, block size: 128, time: 0.602688 ms
[cuda (naive)] degree: 4096, block size: 128, time: 0.734048 ms
[cuda (fast!)] degree: 4096, block size: 128, time: 0.948928 ms
[cuda (naive)] degree: 8192, block size: 128, time: 1.59309 ms
[cuda (fast!)] degree: 8192, block size: 128, time: 1.94464 ms
[cuda (naive)] degree: 16384, block size: 128, time: 5.1592 ms
[cuda (fast!)] degree: 16384, block size: 128, time: 5.35741 ms
[cuda (naive)] degree: 32768, block size: 128, time: 18.1316 ms
[cuda (fast!)] degree: 32768, block size: 128, time: 17.5942 ms
[cuda (naive)] degree: 65536, block size: 128, time: 66.364 ms
[cuda (fast!)] degree: 65536, block size: 128, time: 60.9924 ms
[cuda (naive)] degree: 2, block size: 256, time: 0.258368 ms
[cuda (fast!)] degree: 2, block size: 256, time: 0.244032 ms
[cuda (naive)] degree: 4, block size: 256, time: 0.216896 ms
[cuda (fast!)] degree: 4, block size: 256, time: 0.25024 ms
[cuda (naive)] degree: 8, block size: 256, time: 0.249472 ms
[cuda (fast!)] degree: 8, block size: 256, time: 0.219808 ms
[cuda (naive)] degree: 16, block size: 256, time: 0.227872 ms
[cuda (fast!)] degree: 16, block size: 256, time: 0.29648 ms
[cuda (naive)] degree: 32, block size: 256, time: 0.313408 ms
[cuda (fast!)] degree: 32, block size: 256, time: 0.232864 ms
[cuda (naive)] degree: 64, block size: 256, time: 0.253952 ms
[cuda (fast!)] degree: 64, block size: 256, time: 0.281184 ms
[cuda (naive)] degree: 128, block size: 256, time: 0.280864 ms
[cuda (fast!)] degree: 128, block size: 256, time: 0.258848 ms
[cuda (naive)] degree: 256, block size: 256, time: 0.254688 ms
[cuda (fast!)] degree: 256, block size: 256, time: 0.287488 ms
[cuda (naive)] degree: 512, block size: 256, time: 0.283392 ms
[cuda (fast!)] degree: 512, block size: 256, time: 0.326176 ms
[cuda (naive)] degree: 1024, block size: 256, time: 0.288448 ms
[cuda (fast!)] degree: 1024, block size: 256, time: 0.407328 ms
[cuda (naive)] degree: 2048, block size: 256, time: 0.461344 ms
[cuda (fast!)] degree: 2048, block size: 256, time: 0.616608 ms
[cuda (naive)] degree: 4096, block size: 256, time: 0.693952 ms
[cuda (fast!)] degree: 4096, block size: 256, time: 0.895712 ms
[cuda (naive)] degree: 8192, block size: 256, time: 1.44438 ms
[cuda (fast!)] degree: 8192, block size: 256, time: 1.84234 ms
[cuda (naive)] degree: 16384, block size: 256, time: 4.71773 ms
[cuda (fast!)] degree: 16384, block size: 256, time: 4.89466 ms
[cuda (naive)] degree: 32768, block size: 256, time: 16.6223 ms
[cuda (fast!)] degree: 32768, block size: 256, time: 16.1432 ms
[cuda (naive)] degree: 65536, block size: 256, time: 63.4388 ms
[cuda (fast!)] degree: 65536, block size: 256, time: 61.1409 ms
[cuda (naive)] degree: 2, block size: 512, time: 0.246816 ms
[cuda (fast!)] degree: 2, block size: 512, time: 0.250464 ms
[cuda (naive)] degree: 4, block size: 512, time: 0.262752 ms
[cuda (fast!)] degree: 4, block size: 512, time: 0.266336 ms
[cuda (naive)] degree: 8, block size: 512, time: 0.247872 ms
[cuda (fast!)] degree: 8, block size: 512, time: 0.251456 ms
[cuda (naive)] degree: 16, block size: 512, time: 0.275872 ms
[cuda (fast!)] degree: 16, block size: 512, time: 0.211456 ms
[cuda (naive)] degree: 32, block size: 512, time: 0.229856 ms
[cuda (fast!)] degree: 32, block size: 512, time: 0.214144 ms
[cuda (naive)] degree: 64, block size: 512, time: 0.227712 ms
[cuda (fast!)] degree: 64, block size: 512, time: 0.218112 ms
[cuda (naive)] degree: 128, block size: 512, time: 0.231136 ms
[cuda (fast!)] degree: 128, block size: 512, time: 0.229088 ms
[cuda (naive)] degree: 256, block size: 512, time: 0.247072 ms
[cuda (fast!)] degree: 256, block size: 512, time: 0.249728 ms
[cuda (naive)] degree: 512, block size: 512, time: 0.286112 ms
[cuda (fast!)] degree: 512, block size: 512, time: 0.351936 ms
[cuda (naive)] degree: 1024, block size: 512, time: 0.344064 ms
[cuda (fast!)] degree: 1024, block size: 512, time: 0.395136 ms
[cuda (naive)] degree: 2048, block size: 512, time: 0.425536 ms
[cuda (fast!)] degree: 2048, block size: 512, time: 0.537824 ms
[cuda (naive)] degree: 4096, block size: 512, time: 0.674464 ms
[cuda (fast!)] degree: 4096, block size: 512, time: 0.871872 ms
[cuda (naive)] degree: 8192, block size: 512, time: 1.55408 ms
[cuda (fast!)] degree: 8192, block size: 512, time: 1.80963 ms
[cuda (naive)] degree: 16384, block size: 512, time: 4.88931 ms
[cuda (fast!)] degree: 16384, block size: 512, time: 4.71738 ms
[cuda (naive)] degree: 32768, block size: 512, time: 16.9212 ms
[cuda (fast!)] degree: 32768, block size: 512, time: 15.9878 ms
[cuda (naive)] degree: 65536, block size: 512, time: 59.3212 ms
[cuda (fast!)] degree: 65536, block size: 512, time: 55.0563 ms
