multithread_threshold,time,order
32,0,4
32,0,8
32,0,16
32,0,32
32,6,64
32,49,128
32,324,256
32,2507,512
32,20585,1024
32,169160,2048
64,0,4
64,0,8
64,0,16
64,0,32
64,0,64
64,34,128
64,308,256
64,2512,512
64,20277,1024
64,172457,2048
128,0,4
128,0,8
128,0,16
128,0,32
128,0,64
128,0,128
128,240,256
128,2343,512
128,20394,1024
128,167573,2048
